rr_interval,condition
644,hard
636,hard
648,hard
648,hard
644,hard
628,hard
624,hard
628,hard
608,hard
600,hard
600,hard
600,hard
596,hard
584,hard
572,hard
564,hard
572,hard
568,hard
564,hard
560,hard
556,hard
572,hard
568,hard
568,hard
564,hard
564,hard
564,hard
564,hard
556,hard
552,hard
544,hard
544,hard
536,hard
536,hard
536,hard
544,hard
560,hard
552,hard
548,hard
536,hard
536,hard
540,hard
548,hard
548,hard
548,hard
552,hard
560,hard
560,hard
564,hard
580,hard
580,hard
576,hard
580,hard
644,hard
620,hard
612,hard
616,hard
624,hard
628,hard
600,hard
608,hard
600,hard
588,hard
568,hard
556,hard
544,hard
552,hard
548,hard
556,hard
568,hard
572,hard
572,hard
580,hard
588,hard
596,hard
628,hard
624,hard
612,hard
620,hard
628,hard
620,hard
632,hard
632,hard
640,hard
684,hard
652,hard
636,hard
648,hard
660,hard
644,hard
628,hard
616,hard
620,hard
616,hard
620,hard
616,hard
628,hard
620,hard
632,hard
652,hard
668,hard
644,hard
632,hard
604,easy
604,easy
580,easy
588,easy
600,easy
628,easy
636,easy
636,easy
628,easy
632,easy
636,easy
640,easy
632,easy
640,easy
640,easy
636,easy
632,easy
624,easy
640,easy
660,easy
668,easy
640,easy
652,easy
672,easy
652,easy
624,easy
612,easy
612,easy
608,easy
604,easy
624,easy
636,easy
640,easy
644,easy
668,easy
672,easy
648,easy
644,easy
632,easy
632,easy
620,easy
624,easy
644,easy
648,easy
636,easy
636,easy
656,easy
652,easy
600,easy
588,easy
584,easy
588,easy
596,easy
604,easy
596,easy
592,easy
588,easy
572,easy
564,easy
572,easy
600,easy
624,easy
640,easy
624,easy
620,easy
616,easy
616,easy
624,easy
620,easy
628,easy
628,easy
640,easy
656,easy
664,easy
668,easy
652,easy
664,easy
648,easy
652,easy
640,easy
632,easy
644,easy
644,easy
652,easy
644,easy
640,easy
640,easy
656,easy
644,easy
652,easy
648,easy
640,easy
636,easy
628,easy
624,easy
644,easy
592,hard
596,hard
596,hard
592,hard
576,hard
576,hard
588,hard
608,hard
608,hard
624,hard
632,hard
648,hard
624,hard
608,hard
596,hard
600,hard
596,hard
596,hard
592,hard
588,hard
596,hard
592,hard
600,hard
600,hard
608,hard
596,hard
592,hard
588,hard
596,hard
620,hard
632,hard
612,hard
608,hard
600,hard
592,hard
600,hard
600,hard
600,hard
596,hard
616,hard
612,hard
588,hard
572,hard
568,hard
564,hard
572,hard
568,hard
572,hard
576,hard
584,hard
584,hard
564,hard
564,hard
560,hard
572,hard
580,hard
604,hard
592,hard
596,hard
600,hard
620,hard
620,hard
616,hard
592,hard
588,hard
584,hard
592,hard
596,hard
596,hard
592,hard
592,hard
608,hard
620,hard
616,hard
612,hard
608,hard
612,hard
600,hard
604,hard
604,hard
636,hard
624,hard
648,hard
652,hard
636,hard
628,hard
624,hard
628,hard
620,hard
628,hard
628,hard
624,hard
632,hard
616,hard
616,hard
620,hard
632,hard
616,hard
616,hard
624,hard
648,hard
624,easy
648,easy
656,easy
656,easy
664,easy
668,easy
676,easy
668,easy
656,easy
660,easy
672,easy
664,easy
664,easy
656,easy
644,easy
648,easy
632,easy
628,easy
628,easy
628,easy
624,easy
620,easy
636,easy
656,easy
644,easy
624,easy
628,easy
668,easy
652,easy
632,easy
616,easy
616,easy
628,easy
624,easy
608,easy
616,easy
640,easy
664,easy
640,easy
628,easy
640,easy
652,easy
656,easy
640,easy
636,easy
648,easy
652,easy
564,hard
556,hard
572,hard
572,hard
576,hard
568,hard
568,hard
564,hard
576,hard
596,hard
644,hard
676,hard
640,hard
640,hard
644,hard
640,hard
640,hard
620,hard
604,hard
604,hard
604,hard
612,hard
616,hard
616,hard
620,hard
612,hard
600,hard
612,hard
632,hard
668,hard
652,hard
648,hard
636,hard
640,hard
632,hard
652,hard
620,hard
604,hard
608,hard
608,hard
608,hard
604,hard
608,hard
620,hard
636,hard
604,hard
592,hard
580,hard
584,hard
612,hard
580,easy
576,easy
584,easy
584,easy
584,easy
588,easy
604,easy
608,easy
600,easy
604,easy
616,easy
632,easy
616,easy
604,easy
608,easy
636,easy
656,easy
640,easy
648,easy
672,easy
664,easy
640,easy
632,easy
632,easy
648,easy
632,easy
624,easy
636,easy
660,easy
668,easy
652,easy
656,easy
676,easy
688,easy
656,easy
640,easy
644,easy
648,easy
644,easy
632,easy
628,easy
620,easy
620,easy
640,easy
648,easy
636,easy
644,easy
672,easy
640,hard
656,hard
640,hard
628,hard
632,hard
644,hard
648,hard
656,hard
692,hard
708,hard
688,hard
668,hard
640,hard
632,hard
636,hard
636,hard
644,hard
636,hard
628,hard
628,hard
632,hard
644,hard
648,hard
636,hard
620,hard
612,hard
628,hard
640,hard
632,hard
640,hard
640,hard
640,hard
648,hard
672,hard
644,hard
628,hard
628,hard
628,hard
636,hard
632,hard
620,hard
612,hard
612,hard
604,hard
600,hard
596,hard
608,hard
628,hard
620,hard
608,hard
608,hard
600,hard
600,hard
604,hard
596,hard
592,hard
584,hard
592,hard
592,hard
616,hard
644,hard
672,hard
644,hard
640,hard
636,hard
632,hard
624,hard
616,hard
616,hard
612,hard
604,hard
616,hard
632,hard
632,hard
632,hard
648,hard
676,hard
692,hard
680,hard
648,hard
636,hard
624,hard
624,hard
612,hard
600,hard
608,hard
628,hard
640,hard
680,hard
700,hard
676,hard
668,hard
680,hard
676,hard
660,hard
660,hard
656,hard
692,hard
684,hard
680,hard
684,hard
692,hard
688,hard
660,hard
648,hard
640,hard
640,hard
628,hard
640,hard
640,hard
620,hard
612,hard
612,hard
608,hard
608,hard
612,hard
616,hard
616,hard
616,hard
616,hard
628,hard
628,hard
624,hard
608,hard
608,hard
616,hard
608,hard
600,hard
596,hard
600,hard
608,hard
628,hard
616,hard
612,hard
616,hard
632,hard
648,hard
696,hard
688,hard
644,hard
644,hard
636,hard
632,hard
620,hard
620,hard
632,hard
576,easy
580,easy
584,easy
596,easy
608,easy
620,easy
620,easy
632,easy
648,easy
640,easy
656,easy
664,easy
672,easy
656,easy
668,easy
664,easy
644,easy
632,easy
632,easy
660,easy
664,easy
648,easy
648,easy
660,easy
692,easy
660,easy
640,easy
640,easy
660,easy
660,easy
640,easy
632,easy
656,easy
672,easy
652,easy
640,easy
648,easy
672,easy
652,easy
644,easy
636,easy
652,easy
668,easy
644,easy
640,easy
640,easy
664,easy
620,hard
632,hard
648,hard
652,hard
644,hard
648,hard
648,hard
656,hard
640,hard
636,hard
648,hard
680,hard
708,hard
672,hard
672,hard
672,hard
668,hard
652,hard
640,hard
628,hard
628,hard
620,hard
616,hard
616,hard
628,hard
648,hard
692,hard
692,hard
688,hard
688,hard
712,hard
708,hard
672,hard
672,hard
664,hard
660,hard
656,hard
652,hard
656,hard
672,hard
664,hard
664,hard
680,hard
696,hard
684,hard
680,hard
596,easy
592,easy
592,easy
592,easy
600,easy
596,easy
600,easy
596,easy
604,easy
612,easy
624,easy
616,easy
616,easy
624,easy
636,easy
636,easy
628,easy
620,easy
624,easy
620,easy
632,easy
620,easy
592,easy
596,easy
616,easy
652,easy
668,easy
676,easy
672,easy
684,easy
656,easy
640,easy
632,easy
628,easy
628,easy
628,easy
624,easy
624,easy
636,easy
648,easy
652,easy
656,easy
660,easy
668,easy
648,easy
628,easy
616,easy
608,easy
620,easy
584,easy
588,easy
608,easy
608,easy
616,easy
616,easy
632,easy
620,easy
608,easy
600,easy
608,easy
620,easy
644,easy
640,easy
656,easy
652,easy
652,easy
632,easy
620,easy
616,easy
616,easy
608,easy
588,easy
584,easy
580,easy
588,easy
624,easy
656,easy
656,easy
664,easy
648,easy
664,easy
668,easy
664,easy
656,easy
660,easy
672,easy
680,easy
672,easy
660,easy
668,easy
680,easy
676,easy
668,easy
668,easy
676,easy
668,easy
660,easy
584,easy
584,easy
592,easy
588,easy
584,easy
592,easy
592,easy
584,easy
584,easy
580,easy
576,easy
568,easy
568,easy
560,easy
560,easy
588,easy
632,easy
624,easy
616,easy
624,easy
640,easy
656,easy
648,easy
636,easy
612,easy
592,easy
584,easy
580,easy
576,easy
584,easy
604,easy
604,easy
616,easy
620,easy
648,easy
664,easy
668,easy
672,easy
676,easy
684,easy
696,easy
700,easy
684,easy
684,easy
680,easy
664,easy
660,easy
652,easy
664,easy
572,easy
572,easy
572,easy
572,easy
572,easy
564,easy
572,easy
568,easy
572,easy
580,easy
588,easy
596,easy
608,easy
604,easy
588,easy
580,easy
580,easy
568,easy
560,easy
556,easy
544,easy
544,easy
584,easy
660,easy
636,easy
588,easy
588,easy
584,easy
588,easy
588,easy
584,easy
592,easy
608,easy
616,easy
612,easy
620,easy
644,easy
656,easy
684,easy
676,easy
676,easy
696,easy
688,easy
716,easy
692,easy
692,easy
680,easy
672,easy
644,easy
652,easy
572,easy
608,easy
604,easy
592,easy
596,easy
620,easy
612,easy
604,easy
604,easy
612,easy
604,easy
588,easy
576,easy
568,easy
556,easy
544,easy
540,easy
532,easy
540,easy
604,easy
616,easy
588,easy
608,easy
624,easy
628,easy
640,easy
652,easy
660,easy
652,easy
660,easy
676,easy
700,easy
696,easy
684,easy
712,easy
720,easy
700,easy
688,easy
708,easy
720,easy
704,easy
688,easy
712,easy
720,easy
704,easy
684,easy
688,easy
688,easy
588,hard
592,hard
588,hard
588,hard
612,hard
620,hard
624,hard
620,hard
624,hard
628,hard
624,hard
632,hard
656,hard
648,hard
644,hard
640,hard
652,hard
660,hard
648,hard
636,hard
628,hard
624,hard
636,hard
652,hard
624,hard
612,hard
616,hard
624,hard
660,hard
696,hard
676,hard
660,hard
656,hard
664,hard
692,hard
660,hard
640,hard
628,hard
628,hard
624,hard
612,hard
608,hard
608,hard
608,hard
592,hard
584,hard
580,hard
600,hard
568,easy
560,easy
560,easy
560,easy
564,easy
568,easy
592,easy
596,easy
576,easy
580,easy
580,easy
584,easy
604,easy
708,easy
776,easy
724,easy
724,easy
732,easy
736,easy
700,easy
688,easy
696,easy
696,easy
692,easy
664,easy
652,easy
664,easy
672,easy
660,easy
660,easy
676,easy
684,easy
684,easy
680,easy
692,easy
700,easy
692,easy
684,easy
692,easy
676,easy
664,easy
664,easy
664,easy
644,easy
628,easy
624,easy
640,easy
540,hard
556,hard
584,hard
620,hard
592,hard
612,hard
640,hard
624,hard
608,hard
604,hard
600,hard
600,hard
600,hard
596,hard
600,hard
604,hard
616,hard
644,hard
640,hard
636,hard
640,hard
652,hard
672,hard
680,hard
664,hard
652,hard
632,hard
628,hard
648,hard
680,hard
668,hard
648,hard
640,hard
648,hard
660,hard
648,hard
632,hard
624,hard
624,hard
652,hard
672,hard
664,hard
644,hard
636,hard
628,hard
624,hard
612,hard
628,hard
620,hard
572,hard
568,hard
572,hard
576,hard
580,hard
580,hard
588,hard
604,hard
608,hard
616,hard
624,hard
652,hard
660,hard
644,hard
620,hard
620,hard
632,hard
644,hard
652,hard
640,hard
632,hard
632,hard
632,hard
628,hard
624,hard
620,hard
620,hard
636,hard
660,hard
672,hard
644,hard
636,hard
640,hard
648,hard
656,hard
636,hard
624,hard
616,hard
620,hard
632,hard
632,hard
640,hard
628,hard
636,hard
672,hard
748,hard
716,hard
712,hard
652,hard
640,hard
628,hard
616,hard
604,hard
588,hard
580,hard
576,hard
572,hard
572,hard
568,hard
564,hard
568,hard
564,hard
568,hard
572,hard
584,hard
624,hard
632,hard
620,hard
616,hard
616,hard
636,hard
668,hard
660,hard
668,hard
656,hard
664,hard
672,hard
664,hard
652,hard
624,hard
608,hard
600,hard
592,hard
600,hard
600,hard
588,hard
596,hard
612,hard
660,hard
680,hard
676,hard
692,hard
708,hard
704,hard
664,hard
640,hard
648,hard
592,easy
584,easy
584,easy
580,easy
580,easy
592,easy
604,easy
600,easy
600,easy
612,easy
632,easy
604,easy
612,easy
608,easy
600,easy
592,easy
576,easy
572,easy
560,easy
548,easy
544,easy
572,easy
700,easy
700,easy
656,easy
616,easy
612,easy
608,easy
616,easy
636,easy
636,easy
612,easy
612,easy
628,easy
680,easy
688,easy
672,easy
668,easy
684,easy
712,easy
684,easy
668,easy
656,easy
664,easy
684,easy
664,easy
652,easy
660,easy
548,easy
544,easy
544,easy
564,easy
576,easy
584,easy
580,easy
612,easy
648,easy
688,easy
668,easy
656,easy
644,easy
640,easy
620,easy
600,easy
584,easy
572,easy
556,easy
548,easy
536,easy
528,easy
528,easy
520,easy
512,easy
508,easy
504,easy
500,easy
496,easy
508,easy
520,easy
520,easy
512,easy
512,easy
516,easy
532,easy
536,easy
552,easy
568,easy
572,easy
592,easy
588,easy
596,easy
628,easy
640,easy
632,easy
632,easy
640,easy
692,easy
676,easy
660,easy
660,easy
684,easy
616,hard
632,hard
652,hard
640,hard
620,hard
612,hard
608,hard
608,hard
592,hard
584,hard
580,hard
572,hard
568,hard
560,hard
552,hard
552,hard
552,hard
560,hard
576,hard
572,hard
572,hard
576,hard
600,hard
620,hard
648,hard
672,hard
640,hard
624,hard
620,hard
632,hard
648,hard
636,hard
620,hard
628,hard
632,hard
640,hard
648,hard
636,hard
624,hard
616,hard
616,hard
628,hard
620,hard
616,hard
600,hard
592,hard
580,hard
576,hard
580,hard
588,hard
564,easy
568,easy
572,easy
568,easy
564,easy
576,easy
584,easy
588,easy
572,easy
572,easy
572,easy
584,easy
596,easy
600,easy
608,easy
612,easy
596,easy
600,easy
616,easy
616,easy
612,easy
616,easy
604,easy
592,easy
584,easy
580,easy
596,easy
600,easy
604,easy
596,easy
624,easy
644,easy
636,easy
632,easy
620,easy
624,easy
620,easy
616,easy
608,easy
600,easy
596,easy
596,easy
588,easy
584,easy
580,easy
596,easy
612,easy
644,easy
644,easy
668,easy
664,easy
620,hard
608,hard
600,hard
596,hard
588,hard
572,hard
568,hard
568,hard
576,hard
612,hard
632,hard
628,hard
628,hard
616,hard
608,hard
600,hard
588,hard
580,hard
560,hard
556,hard
548,hard
540,hard
548,hard
560,hard
584,hard
580,hard
596,hard
608,hard
632,hard
636,hard
628,hard
624,hard
636,hard
644,hard
624,hard
616,hard
612,hard
600,hard
584,hard
584,hard
584,hard
596,hard
620,hard
628,hard
628,hard
636,hard
648,hard
656,hard
652,hard
648,hard
632,hard
560,easy
556,easy
544,easy
536,easy
528,easy
536,easy
552,easy
568,easy
564,easy
576,easy
596,easy
616,easy
620,easy
620,easy
616,easy
632,easy
636,easy
640,easy
632,easy
620,easy
640,easy
648,easy
660,easy
644,easy
616,easy
600,easy
584,easy
576,easy
584,easy
584,easy
584,easy
584,easy
584,easy
588,easy
588,easy
608,easy
620,easy
640,easy
656,easy
648,easy
660,easy
664,easy
656,easy
632,easy
620,easy
616,easy
612,easy
596,easy
588,easy
588,easy
